ID,Tweet,Affect_Dimension,Intensity_Score,Cleaned_Tweet
2017-En-11477,People who go the speed limit irritate me,valence,0.3,people who go the speed limit irritate me
2017-En-11157,Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha,valence,0.547,howard webb always held up as knowing the answers no red sutton and craigan raging hahaha
2017-En-30034,I #love to #laugh and share #laughter as way to share #joy,valence,0.917,i to and share as way to share
2017-En-30806,"With a jovial Trump on his ass, Don King just publicly told a crowd that 'We need [him] because you will always be a nigger.'  #FuckTrump",valence,0.203,with a jovial trump on his ass don king just publicly told a crowd that we need him because you will always be a nigger
2017-En-30705,"@Spotted_H0rse I'm spry, though",valence,0.483,im spry though
2017-En-11398,@esraalajmy huff btw ty😔,valence,0.333,huff btw ty😔
2017-En-40379,What day is it #lost,valence,0.35,what day is it
2017-En-41466,I've been loving you too long #OtisRedding #blues,valence,0.633,ive been loving you too long
2017-En-30282,@Dubai92 try asking for a cheeseburger with only onion &amp; mustard at any #McDonalds #hilarious,valence,0.717,try asking for a cheeseburger with only onion mustard at any
2017-En-30122,"Something about these cool, breezy fall days.. 😍🍂🌾🍁",valence,0.796,something about these cool breezy fall days 😍🍂🌾🍁
2017-En-30659,A not very young man compiled info on a smiling baby then a mattress created new evil.,valence,0.5,a not very young man compiled info on a smiling baby then a mattress created new evil
2017-En-30123,Food that gets delivered 😍🙌🏻  ,valence,0.707,food that gets delivered 😍🙌🏻
2017-En-30273,Watching Avatar and wondering why I took so long to watch this *collapses in a joyous heap*,valence,0.88,watching avatar and wondering why i took so long to watch this collapses in a joyous heap
2017-En-30629,Final night shift coming up.  I won't miss it but I will miss my work pals and the hysterical laughter that gets us through the night,valence,0.607,final night shift coming up i wont miss it but i will miss my work pals and the hysterical laughter that gets us through the night
2017-En-10269,Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of #anger?,valence,0.054,did we miss the fact that swung hit his sister in the face with a golf club previously out of a fit of
2017-En-40570,"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since.  #Autumn",valence,0.4,do we think the swallows and swifts have gone photod nights ago not seen since
2017-En-31459,@soboleskih Okay this is hilarious,valence,0.871,okay this is hilarious
2017-En-11678,Another loss to city in the cup next 🙈 😂😂 cmon united! ,valence,0.617,another loss to city in the cup next 🙈 😂😂 cmon united
2017-En-21966,I'm so confused by the new American horror story 😩,valence,0.355,im so confused by the new american horror story 😩
2017-En-30626,only time I am ever cheering for you Johnny,valence,0.5,only time i am ever cheering for you johnny
2017-En-30261,@safaridjh but it's so aesthetically pleasing omg,valence,0.887,but its so aesthetically pleasing omg
2017-En-31115,@JessicaZ00 @ZRlondon ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents ,valence,0.87,ditto such an amazing atmosphere
2017-En-10969,HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle,valence,0.571,huge congratulations to nicole winning big brother sorry not sorry
2017-En-30489,i'm doing laundry and watching that 70's show with a bunch of strangers. #happy #birthday #to #me,valence,0.776,im doing laundry and watching that s show with a bunch of strangers
2017-En-11279,@AmericanAir I am irate at you check-in system. I have tried to checkin all day and it wouldn't let me do it because I had no seat assigned,valence,0.367,i am irate at you checkin system i have tried to checkin all day and it wouldnt let me do it because i had no seat assigned
2017-En-30287,@kymwhitley hello Miss Lady I'm sure today brings you happiness and laughter use your voice also to make us laugh  god knows we need it,valence,0.696,hello miss lady im sure today brings you happiness and laughter use your voice also to make us laugh god knows we need it
2017-En-21366,@comcast you charge 150 extra for sending someone out and your cable service still doesn't work. That's robbery.  #cable #horrible #service,valence,0.129,you charge extra for sending someone out and your cable service still doesnt work thats robbery
2017-En-30238,Only Geo is capable of cheering me up❤️❤️❤️,valence,0.679,only geo is capable of cheering me up❤️❤️❤️
2017-En-40059,Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops 👎🏾👎🏽👎🏻🍂🍁,valence,0.25,am i the only person who dislikes fall 👎🏾👎🏽👎🏻🍂🍁
2017-En-31500,"Latest on new optimism on keeping #Raiders in #Oakland, live right now on @KCBSNews: @NFL meets here w/Lott &amp; Schaaf to talk new stadium",valence,0.677,latest on new optimism on keeping in live right now on meets here wlott schaaf to talk new stadium
2017-En-30772,Harking back to 2012 - DT's challenge to @POTUS...I will give...DT a hearty thank you...if he will release his tax returns....,valence,0.516,harking back to dts challenge to i will givedt a hearty thank youif he will release his tax returns
2017-En-20315,Accrington Stanley? Who are they? Exactly. Things looking dire for West Ham despite the win. What's changed since March? #bbcfootball,valence,0.534,accrington stanley who are they exactly things looking dire for west ham despite the win whats changed since march
2017-En-31343,Let go of the need to need. And find your own joyous path through the richness that extends in every direction.,valence,0.661,let go of the need to need and find your own joyous path through the richness that extends in every direction
2017-En-31227,"@seangrandillo I beg you, never stop smiling. You deserve to be happy and to know all the beautiful things that life can offers.",valence,0.661,i beg you never stop smiling you deserve to be happy and to know all the beautiful things that life can offers
2017-En-20663,i was just talking about it last week .. how does your outside appearance (ie. dread locks) affect the ability you have to work?,valence,0.463,i was just talking about it last week how does your outside appearance ie dread locks affect the ability you have to work
2017-En-31507,Try to find the good in the negative. The negative can turn out to be good.\n#anxietyrelief #optimism #openminded,valence,0.65,try to find the good in the negative the negative can turn out to be goodn
2017-En-30195,"Lmboo , using my nephew for meme ",valence,0.677,lmboo using my nephew for meme
2017-En-20918,@LmRyle @tomcolicchio @realDonaldTrump @HillaryClinton @ajjaffe I understand your concerns but look at her foundation contributions ,valence,0.379,i understand your concerns but look at her foundation contributions
2017-En-30655,Well look at the bright side. You found a use for that rope #TipsToSurviveAPowerOutage,valence,0.532,well look at the bright side you found a use for that rope
2017-En-41014,@reikimuse @MHChat I am beyond the sadness point. Have done it inside out. I live with CPTSD and BPD  I can't always do the pity party,valence,0.233,i am beyond the sadness point have done it inside out i live with cptsd and bpd i cant always do the pity party
2017-En-30755,"@rubeseatsinfo from here, it's but a short step to biweekly Community Meetings over a hearty meal of soy flakes",valence,0.613,from here its but a short step to biweekly community meetings over a hearty meal of soy flakes
2017-En-10265,@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,valence,0.424,i know you trusted me his words were soft as he ignored the anger and focused on the hurt beneath i know i screwed up
2017-En-10278,i have so much hw tonight im offended,valence,0.323,i have so much hw tonight im offended
2017-En-31533,is it bad that kurt is literally me..? #glee,valence,0.4,is it bad that kurt is literally me
2017-En-11475,@BitchestheCat Look at those teef! #growl,valence,0.393,look at those teef
2017-En-11276,@Bickley_Marotta yea because forcing 5 turnovers and holding a pretty good offense to 7 points is concerning.....oh wait. NO!!,valence,0.301,yea because forcing turnovers and holding a pretty good offense to points is concerningoh wait no
2017-En-40755,@hannah_2401 hannah stop being mournful and chill 💁,valence,0.4,hannah stop being mournful and chill 💁
2017-En-30802,Wanted to get him a cake with sparkling candles but he doesn't like cake😒😒. Ruins everything,valence,0.133,wanted to get him a cake with sparkling candles but he doesnt like cake😒😒 ruins everything
2017-En-21567,Not sure if thats an accomplishment or something to worry about,valence,0.403,not sure if thats an accomplishment or something to worry about
2017-En-21501,8. sweater weather - the neighbourhood\ngirls/girls/boys - panic! at the disco,valence,0.483,sweater weather the neighbourhoodngirlsgirlsboys panic at the disco
2017-En-31251,"But the lady at the store said I had nice eyelashes so that's good, right? #optimism? @verizon",valence,0.902,but the lady at the store said i had nice eyelashes so thats good right
2017-En-30060,Made my night that @GordonReid91 Reid was included in tonight's hilarity. Some of those points were brilliant. Thanks @andy_murray,valence,0.846,made my night that reid was included in tonights hilarity some of those points were brilliant thanks
2017-En-40319,@LondonMidland #dobetter only two carriages on 14:49 Birmingham to Hereford no room to stand anymore Friday commute #unhappy,valence,0.043,only two carriages on birmingham to hereford no room to stand anymore friday commute
2017-En-30600,Lil reminder that my private account is a delight of shittalking and occasionally NSFW stuff! @AngryArchosaur,valence,0.569,lil reminder that my private account is a delight of shittalking and occasionally nsfw stuff
2017-En-20861,Jeans with fake pockets #horrible,valence,0.258,jeans with fake pockets
2017-En-10285,@EagleGiles23 @tgilmore_92 what I miss? #outrage,valence,0.322,what i miss
2017-En-30769,@govph I would like to know about the source of The President's optimism about running the country. I wonder if he can answer my curiosity.,valence,0.355,i would like to know about the source of the presidents optimism about running the country i wonder if he can answer my curiosity
2017-En-40228,Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness,valence,0.194,some moving clips on youtube tonight of the vigil held at tulsa metropolitan baptist church for
2017-En-30293,Do what makes you successful and #happy now and forever,valence,0.833,do what makes you successful and now and forever
2017-En-30700,One time I saw Rachel from glee tell someone their job was on a pole and I said that in 5th grade to a boy and he look confused,valence,0.435,one time i saw rachel from glee tell someone their job was on a pole and i said that in th grade to a boy and he look confused
2017-En-20493,"@tbergg1 mine are good rn, gonna be horrid after next week",valence,0.442,mine are good rn gonna be horrid after next week
2017-En-22095,@Patsy1207 @markheardusa @theinquisitr Do your fuc*ing job and report the news.Just another bully to go in the basket.Freedom or fear???,valence,0.145,do your fucing job and report the newsjust another bully to go in the basketfreedom or fear
2017-En-11342,@jamiesmart Huh! It's always my fault isn't it &gt;:(  #sulk,valence,0.25,huh its always my fault isnt it
2017-En-10186,@RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing.,valence,0.613,the guy who calls people cuck and is antiblm is offended by idea that he might not be propolicing reform thats amazing
2017-En-20632,@BrandedByCas I was like that when I started college. It was horrific but it probably will get better. Don't give up yet,valence,0.516,i was like that when i started college it was horrific but it probably will get better dont give up yet
2017-En-41239,I'm strong 'cause I'm weak\nI'm beautiful 'cause I know my flaws\nI'm fearless 'cause I've been afraid\nI can laugh 'cause I've known sadness..,valence,0.5,im strong cause im weaknim beautiful cause i know my flawsnim fearless cause ive been afraidni can laugh cause ive known sadness
2017-En-31544,ari looks hilarious oh my g d this is too much,valence,0.79,ari looks hilarious oh my g d this is too much
2017-En-31081,Wishing the Ipswich Tigers good luck in their games throughout homecoming week!! We are cheering you on here at the City Office! GO TIGERS!,valence,0.828,wishing the ipswich tigers good luck in their games throughout homecoming week we are cheering you on here at the city office go tigers
2017-En-40225,@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,valence,0.188,take k out of it the numbers on madden are low and have dropped and people are unhappy
2017-En-41283,"@ChrisWarcraft species cf. Don Jr. refugees/Skittles.know he likes his snacks,but even @gop frown on talking about eating humans #lizardscum",valence,0.5,species cf don jr refugeesskittlesknow he likes his snacksbut even frown on talking about eating humans
2017-En-21982,"@joeyskawaii i know i don't know u, but physiatrists are seriously the number one best thing for people with anxiety.",valence,0.589,i know i dont know u but physiatrists are seriously the number one best thing for people with anxiety
2017-En-30743,Gas prices are hilarious. Cause they're simultaneously super subsidised and taxed,valence,0.517,gas prices are hilarious cause theyre simultaneously super subsidised and taxed
2017-En-40635,@_Mrs_Peel @lp_lisa @PaulRGoulden @LisaLuscious Might be the pout of a star baker tho !,valence,0.435,might be the pout of a star baker tho
2017-En-31274,@lilymacintyre_ she was my favourite such a joyful soul,valence,0.683,she was my favourite such a joyful soul
2017-En-11217,"She began to squirm beneath @hcllbent, struggling to get out of his relentless grasp. When she realized that the attempt was useless,++",valence,0.267,she began to squirm beneath struggling to get out of his relentless grasp when she realized that the attempt was useless
2017-En-30138,"When you wake up from a dream laughing at something stupid, and that makes you laugh more ",valence,0.742,when you wake up from a dream laughing at something stupid and that makes you laugh more
2017-En-40324,"@narcissusheiyan  maybe it'd have been different if I stayed for sixth form? But still, the oppressive architecture, uninteresting people",valence,0.328,maybe itd have been different if i stayed for sixth form but still the oppressive architecture uninteresting people
2017-En-40457,"Niggas murking in each other. In murky water, I try to swim.",valence,0.375,niggas murking in each other in murky water i try to swim
2017-En-40751,why do i have such a thing for dark curly hAIR,valence,0.339,why do i have such a thing for dark curly hair
2017-En-41051,@rosalarian i hate post con blues! But i avoided the plague too yay!! Yay constant hand sanitizer!!!,valence,0.534,i hate post con blues but i avoided the plague too yay yay constant hand sanitizer
2017-En-41133,I get embarrassed at the slightest things and then I'll fret about it all day I hate it,valence,0.259,i get embarrassed at the slightest things and then ill fret about it all day i hate it
2017-En-30559,"Had a coworker look at her phone and say, cheerfully, 'oh look, Kap's getting death threats now.' 🙄. Then she goes to say the 49ers are",valence,0.467,had a coworker look at her phone and say cheerfully oh look kaps getting death threats now 🙄 then she goes to say the ers are
2017-En-30466,"To all who follow me, whether we've ever talked or not hope you have a joyous life. Goodbye.",valence,0.742,to all who follow me whether weve ever talked or not hope you have a joyous life goodbye
2017-En-40010,Honestly depression is kicking my ass lately.. 😔,valence,0.048,honestly depression is kicking my ass lately 😔
2017-En-30699,"@musicfae15 [He grumbled as he sat atop the sushi bar stool, crossing his arms defiantly, in a playful gesture, though he gave anyone who &gt;",valence,0.55,he grumbled as he sat atop the sushi bar stool crossing his arms defiantly in a playful gesture though he gave anyone who
2017-En-30164,@jimadair3 Guitar shop owners everywhere rejoice,valence,0.667,guitar shop owners everywhere rejoice
2017-En-31111,A #smile doesn't always mean a person is #happy . Sometimes it simply means they are #strong enough to face their own #problems .,valence,0.603,a doesnt always mean a person is sometimes it simply means they are enough to face their own
2017-En-30711,"god, Facebook's design has started to remind me of MySpace in its heyday",valence,0.625,god facebooks design has started to remind me of myspace in its heyday
2017-En-21627,Whenever you are confronted by a wild animal or hostile individual remember that they can smell #fear or the fact you #poop your pants.,valence,0.317,whenever you are confronted by a wild animal or hostile individual remember that they can smell or the fact you your pants
2017-En-20623,broken policy' #blasio &lt;&gt; #trump #giuliani 'broken windows' all part of 'pecking order' #bully politics #america RESIST #motto,valence,0.375,broken policy broken windows all part of pecking order politics resist
2017-En-30186,It's Thursday which means it's Grey's day #TGIT ,valence,0.638,its thursday which means its greys day
2017-En-31512,"I envy ice, at least if you give it warmth it melts #TaylorLautner #Twilight #hilarious #quote",valence,0.519,i envy ice at least if you give it warmth it melts
2017-En-11648,Seeing double am so tired but I always grudge getting off my phone at night 🙄,valence,0.241,seeing double am so tired but i always grudge getting off my phone at night 🙄
2017-En-30853,@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,valence,0.914,thank you so much for coming to detroit im going to sob joyful rainbows now brb
2017-En-21645,@Pamela_Moore13 @Ginlefebvre @BarackObama yes exactly &amp; he's sold out this country to #terror while #lying to cover it up,valence,0.29,yes exactly hes sold out this country to while to cover it up
2017-En-31366,@headfirst_dom I often imagine hoe our moon would feel meeting the jovial moons which are all special,valence,0.581,i often imagine hoe our moon would feel meeting the jovial moons which are all special
2017-En-30172,My siblings look all gangster &amp; I look all cheery 😅😂,valence,0.766,my siblings look all gangster i look all cheery 😅😂
2017-En-31016,@daveweigel a laurel and hearty handshake,valence,0.621,a laurel and hearty handshake
2017-En-10519,@marthalyssa yep. LOL ,valence,0.844,yep lol
2017-En-11527,Losing the will 2 live with @virginmedia business bb gone down on hold for 23 minutes &amp; whoever picked up cut me off #fuming #NoWorkForMe,valence,0.2,losing the will live with business bb gone down on hold for minutes whoever picked up cut me off
2017-En-10608,@RiotzXVl papercuts sting and stub ur toe last for like 10 secs,valence,0.482,papercuts sting and stub ur toe last for like secs
2017-En-41166,@OniLink86 @DarekMeridian lmao awe... ,valence,0.597,lmao awe
2017-En-11264,I asked Jared to marry me and he said no. #offended,valence,0.129,i asked jared to marry me and he said no
2017-En-31223,"Good Master Vernon, welcome, nephews, from Bellario :\nThere is my lord, that thou interrupt'st our merriment.",valence,0.482,good master vernon welcome nephews from bellario nthere is my lord that thou interruptst our merriment
2017-En-41115,@OpentheDoorRadi thanks for playing Crock Pot Going #radio #blog #blues #music #indiemusic,valence,0.79,thanks for playing crock pot going
2017-En-40537,Fellaini has been playing ahead of this guy...just let that sink in,valence,0.5,fellaini has been playing ahead of this guyjust let that sink in
2017-En-31101,"The world needs more laughter, more love, and a little more of you. - R.M Drake.",valence,0.672,the world needs more laughter more love and a little more of you rm drake
2017-En-10064,Boycotting @DunkinDonuts till butter pecan comes back. I am furious,valence,0.232,boycotting till butter pecan comes back i am furious
2017-En-40312,"@OnesOwnGrief Just a shame his world was gloom from day one almost.Though it makes sense he'd have the whole part hydra,part s.h.i.e.l.d(c)",valence,0.297,just a shame his world was gloom from day one almostthough it makes sense hed have the whole part hydrapart shieldc
2017-En-30578,Go follow #beautiful #Snowgang ♥@Amynicolehill12 ♥ #Princess #fitness #bodyposi #haircut  #Whitegirlwednesday,valence,0.783,go follow ♥ ♥
2017-En-10760,"Tiangong 1, China's first space laboratory, will come to a fiery end in late 2017. The average decommissioned satellite either burns ...",valence,0.383,tiangong chinas first space laboratory will come to a fiery end in late the average decommissioned satellite either burns
2017-En-31576,Cool to see when smart #CowboysTwitter folks chirp the same stuff you did during your review.  This is why I joined.,valence,0.638,cool to see when smart folks chirp the same stuff you did during your review this is why i joined
2017-En-10970,HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry  #bbmichelle,valence,0.782,huge congratulations to nicole winning big brother sorry not sorry
2017-En-31265,After this news I'm supposed to be so damn happy and rejoicing but I'm here like 😩😔😭😞,valence,0.15,after this news im supposed to be so damn happy and rejoicing but im here like 😩😔😭😞
2017-En-20410,@Theresa_Talbot @fleurrbie Haha...sorry about the dreadful puns... I need to get out more....I've been cooped up lately...,valence,0.355,hahasorry about the dreadful puns i need to get out moreive been cooped up lately
2017-En-30762,I was cheering for NA team. Now I just want this is over and Gaudreau comes back in one piece. It is getting way too risky,valence,0.431,i was cheering for na team now i just want this is over and gaudreau comes back in one piece it is getting way too risky
2017-En-30492,It breaks my heart seeing people down or upset.. I will try my best to make them smile or cheer them up 🤗,valence,0.55,it breaks my heart seeing people down or upset i will try my best to make them smile or cheer them up 🤗
2017-En-30815,"The abysmal ignorance, frivolity and levity of the Italian priests stupefied him.' - Roland Bainton on Luther, #ReformationDay",valence,0.352,the abysmal ignorance frivolity and levity of the italian priests stupefied him roland bainton on luther
2017-En-30423,Always doing the EmotionalHedge™ w #WPS\n\nI'm elated about start.  Have I mentioned I'm on TAMU -6?!,valence,0.5,always doing the emotionalhedge™ w nnim elated about start have i mentioned im on tamu
2017-En-30955,#terribledebatequestions has given me so many laughs this afternoon! Thanks Twitter! #hilarious #cleverpeople,valence,0.897,has given me so many laughs this afternoon thanks twitter
2017-En-21571,"When's it all finished, you will discover that it was never random! #thoughts #restless #CrossoverLife",valence,0.467,whens it all finished you will discover that it was never random
2017-En-31462,"@DayveeSutton BIG thank you for liking my little Pumpkin  :)  She's the smallest of my 4, but is very playful &amp; wakes me up most mornings.",valence,0.94,big thank you for liking my little pumpkin shes the smallest of my but is very playful wakes me up most mornings
2017-En-30028,"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey  ",valence,0.817,good morning love happy first day of fall lets make some awesome
2017-En-11443,What's with all pre industrial revolution-esque footwear? You guys tryin out for grapes of wrath today?,valence,0.45,whats with all pre industrial revolutionesque footwear you guys tryin out for grapes of wrath today
2017-En-21222,Thanks for ripping me off again #Luthansa €400 not enough for a one way flight to man from Frk then €30 for a bag then free at gate ,valence,0.274,thanks for ripping me off again € not enough for a one way flight to man from frk then € for a bag then free at gate
2017-En-30957,"@paraplyene @soupper i just read it and it's so fun??!!!! So lighthearted and cheerful, i was right, it's a double cavity for me.",valence,0.734,i just read it and its so fun so lighthearted and cheerful i was right its a double cavity for me
2017-En-20314,@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used! #shocking #appauling #dire #dismal #beyondajoke #useless,valence,0.121,quite simply the ive ever used
2017-En-30262,"#Followback Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. ",valence,0.5,quotesoup be happy not because everything is good but because you can see the good side of everything
2017-En-31551,Like I said ➡ there's plenty of cheddar in the cheese to go around! For everyone. ☺ ,valence,0.81,like i said ➡ theres plenty of cheddar in the cheese to go around for everyone ☺
2017-En-10455,@Kim_is__bored exactly what I have been saying on fb.. #bitter,valence,0.233,exactly what i have been saying on fb
2017-En-41331,@MCHorseFayse @bockaguyjim @generalgoodsman @nevernotdavid so you were owned by losers on Twitter ,valence,0.226,so you were owned by losers on twitter
2017-En-20462,@realDonaldTrump She blamed Benghazi on a YouTube video. She blamed emails on #ColinPowell. Now she blames #terrorism on you. #weakHillary,valence,0.267,she blamed benghazi on a youtube video she blamed emails on now she blames on you
2017-En-10247,i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG character☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️ #fuming,valence,0.089,i will never watch greys anatomy ever ever ever ever ever again if shonda rimes takes away another og character☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️
2017-En-21103,"@turoturok  We're glad to hear that everything is resolved. If you need anything else, please do not hesitate to reach out to us.  TY!",valence,0.667,were glad to hear that everything is resolved if you need anything else please do not hesitate to reach out to us ty
2017-En-31359,"...X, X... Do... you... hear... me? Darn... Your... optimism led... ...to your own... demise... ... You... should... li...live #ZeroBOT",valence,0.516,x x do you hear me darn your optimism led to your own demise you should lilive
2017-En-31588,Well that draw is lively! #EFLCup,valence,0.694,well that draw is lively
2017-En-31234,@mrfisher81 Just my attempt at levity 😉,valence,0.563,just my attempt at levity 😉
2017-En-41214,"Only God knows why things happen, sometimes it's just hard to understand.  #prayingforyou",valence,0.411,only god knows why things happen sometimes its just hard to understand
2017-En-30965,The little sniffle at the end of the song gets me every time. ,valence,0.466,the little sniffle at the end of the song gets me every time
2017-En-21572,"When's it all finished, you will discover that it was never random! #thoughts  #CrossoverLife",valence,0.484,whens it all finished you will discover that it was never random
2017-En-31520,"@FaultlessFacade &lt;she really said in response to what she perceived as a forced jovial tone. With that, she slid out of the jeep and onto&gt;",valence,0.379,she really said in response to what she perceived as a forced jovial tone with that she slid out of the jeep and onto
2017-En-30833,@Bluebelle89 @lsmith855 liking the optimism,valence,0.588,liking the optimism
2017-En-10286,"@AllegedLowbrow It's 'Eye-for-Eye'. Indian Army never forgives, Never Forgets. They always take revenge, Pakistan breaks laws, I.A follows",valence,0.355,its eyeforeye indian army never forgives never forgets they always take revenge pakistan breaks laws ia follows
2017-En-11104,@inthefade going back to blissful ignorance?! ,valence,0.306,going back to blissful ignorance
2017-En-40638,Already plotting next steps if I get cut off by the same minivan in tomorrow's drop-off line. #preschoolpolitics #momthings ,valence,0.321,already plotting next steps if i get cut off by the same minivan in tomorrows dropoff line
2017-En-30296,#smile every morning to a positive head start with your #clients relations,valence,0.887,every morning to a positive head start with your relations
2017-En-31580,"I'll find Myself smiling and even laughing at jokes that I don't even think are particularly funny, and I know it's because YOU love them!",valence,0.741,ill find myself smiling and even laughing at jokes that i dont even think are particularly funny and i know its because you love them
2017-En-30753,my haters are like crickets. they chirp all day but when I walk past them they shut the fuck up.- @DritaDavanzo (my idol),valence,0.531,my haters are like crickets they chirp all day but when i walk past them they shut the fuck up my idol
2017-En-30382,Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up.  #comedy #maybeoneday #hopefullyfunny #LOL,valence,0.963,thinking about trying some comedy on youtube always been fond of it time to nut up
2017-En-41035,It hasn't sunk in that I'm meeting the twins,valence,0.452,it hasnt sunk in that im meeting the twins
2017-En-20128,"@nigglydz lydiaaaa, we were the only ones that were supposed to know that you make me nervous 😶",valence,0.233,lydiaaaa we were the only ones that were supposed to know that you make me nervous 😶
2017-En-31568,@priny_baby happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend!! Love you lots 💖💖💖💖💖💖💖🎉🎊 #chapter22 #bdaygirl  #love,valence,0.942,happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend love you lots 💖💖💖💖💖💖💖🎉🎊
2017-En-31079,"@peregrinator1 I admittedly went into this series thinking we'd see the Jedi in their heyday, not as dysfunctional UN Peacekeepers in space",valence,0.315,i admittedly went into this series thinking wed see the jedi in their heyday not as dysfunctional un peacekeepers in space
2017-En-10978,@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!,valence,0.259,please tell us why protesting injustice requires and terrible optics is true leader
2017-En-30877,"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. #hilarious",valence,0.661,have some issues with my broadband bill i am charged for the month before i signed up with airtel
2017-En-30595,what happened to breezy,valence,0.484,what happened to breezy
2017-En-31221,brennan cook and breezy should get back together😍😍😍,valence,0.661,brennan cook and breezy should get back together😍😍😍
2017-En-30748,Who actually chooses to drink sparkling water 🤔,valence,0.5,who actually chooses to drink sparkling water 🤔
2017-En-31256,The true way to render ourselves #happy is to love our work and find in it our pleasure. Francoise de Motteville,valence,0.675,the true way to render ourselves is to love our work and find in it our pleasure francoise de motteville
2017-En-20154,im like 'this is better' in the moment cuz i panic and then later its so obviously not better. at every opportunity i choose to make it seem,valence,0.65,im like this is better in the moment cuz i panic and then later its so obviously not better at every opportunity i choose to make it seem
2017-En-40045,Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching,valence,0.156,well my evaluation came back and i am minimally effective student test scores on the parcc sunk my eval its time for me to quit teaching
2017-En-40664,@markoheight @Cassie_OB we sound like vampires saying we wanna sink our teeth into the TT lads and their talents 😂😂😂😂😂😂,valence,0.672,we sound like vampires saying we wanna sink our teeth into the tt lads and their talents 😂😂😂😂😂😂
2017-En-30039,Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! #hilarious,valence,0.75,getting my comedic relief w during season premiere of just what a girl needs
2017-En-21422,@rihaBabyJ Aw no problem. I just felt like speaking because I felt the same before and I want you to overcome it and not be discouraged. :),valence,0.484,aw no problem i just felt like speaking because i felt the same before and i want you to overcome it and not be discouraged
2017-En-30962,"@CarolynTopol Ciara asks was it a sci-fi movie, Julie &amp; Jen just stare, Claire on her phone, Joey bolts when the cab honks. LMAO ",valence,0.75,ciara asks was it a scifi movie julie jen just stare claire on her phone joey bolts when the cab honks lmao
2017-En-40226,I have no clue where my charger is... #lost,valence,0.243,i have no clue where my charger is
2017-En-30007,"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love  #TeamMark",valence,0.75,is the best thing ive seen in ages so funny ive missed bridget
2017-En-31175,*gets crushes on fictional and animated characters instead if real people*,valence,0.483,gets crushes on fictional and animated characters instead if real people
2017-En-11466,"She's foaming at the lips the one between her hips @realobietrice, one of many great lyrics",valence,0.617,shes foaming at the lips the one between her hips one of many great lyrics
2017-En-11515,the Bushes were good with the forces of resentment when it made them money and gave them power. Now that it doesn't they've changed tunes.,valence,0.552,the bushes were good with the forces of resentment when it made them money and gave them power now that it doesnt theyve changed tunes
2017-En-30335,@INCIndia Oh please! INC talking about looting! I'm not saying #BJP is pure but this is such a #hilarious #irony! @BJP4India is def better!,valence,0.703,oh please inc talking about looting im not saying is pure but this is such a is def better
2017-En-21800,"#Pakistan is ‘terrorist state’, carries out #war crimes: #India to @UN.\n #UNGA  #UN",valence,0.391,is ‘terrorist state’ carries out crimes to n
2017-En-31106,"Not by wrath does one kill, but by laughter.  Friedrich Nietzsche #friedrichnietzsche",valence,0.548,not by wrath does one kill but by laughter friedrich nietzsche
2017-En-40204,"If Payet goes either in Jan or @ the seasons end, can't say I blame him. The boy must b so disheartened by what he's seeing at the mo.",valence,0.194,if payet goes either in jan or the seasons end cant say i blame him the boy must b so disheartened by what hes seeing at the mo
